"Realized Gain/Loss - Lot Details for ...844 as of Sat Oct 05  03:10:41 EDT 2024 from 01/01/2022 to 10/05/2024","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"TSLA 05/10/2024 190.00 C","CALL TESLA INC $190 EXP 05/10/24","04/23/2024","04/23/2024","2","$4.59","$0.39","$918.66","$77.32","$841.34","91.583393203144%","","$841.34","Short Term","$77.32","No","","04/22/2024","","","","","","",""
"TSLA 09/20/2024 190.00 C","CALL TESLA INC $190 EXP 09/20/24","04/23/2024","04/23/2024","1","$14.20","$6.39","$1,420.33","$638.66","$781.67","55.034393415615%","","$781.67","Short Term","$638.66","No","","04/22/2024","","","","","","",""
"GOTU","GAOTU TECHEDU INC A ADR","04/19/2024","09/14/2023","1,000","$4.21","$2.65","$4,213.16","$2,650.00","$1,563.16","58.987169811321%","","$1,563.16","Short Term","$2,650.00","No","","04/19/2024","","","","","","",""
"GOTU 04/19/2024 2.00 P","PUT GAOTU TECHEDU INC $2 EXP 04/19/24","04/19/2024","11/29/2023","1","$0.24","$0.00","$24.34","$0.00","$24.34","100%","","$24.34","Short Term","$0.00","No","","04/19/2024","","","","","","",""
"GOTU 04/19/2024 2.00 P","PUT GAOTU TECHEDU INC $2 EXP 04/19/24","04/19/2024","11/27/2023","10","$0.21","$0.00","$213.38","$0.00","$213.38","100%","","$213.38","Short Term","$0.00","No","","04/19/2024","","","","","","",""
"GOTU 04/19/2024 2.00 P","PUT GAOTU TECHEDU INC $2 EXP 04/19/24","04/19/2024","10/06/2023","100","$0.27","$0.00","$2,733.76","$0.00","$2,733.76","100%","","$2,733.76","Short Term","$0.00","No","","04/19/2024","","","","","","",""
"GOTU 04/19/2024 2.50 P","PUT GAOTU TECHEDU INC $2.5 EXP 04/19/24","04/19/2024","12/18/2023","10","$0.32","$0.00","$323.38","$0.00","$323.38","100%","","$323.38","Short Term","$0.00","No","","04/19/2024","","","","","","",""
"GOTU 04/19/2024 2.50 P","PUT GAOTU TECHEDU INC $2.5 EXP 04/19/24","04/19/2024","12/12/2023","100","$0.21","$0.00","$2,133.77","$0.00","$2,133.77","100%","","$2,133.77","Short Term","$0.00","No","","04/19/2024","","","","","","",""
"GOTU 04/19/2024 3.00 P","PUT GAOTU TECHEDU INC $3 EXP 04/19/24","04/19/2024","12/14/2023","50","$0.25","$0.00","$1,244.89","$0.00","$1,244.89","100%","","$1,244.89","Short Term","$0.00","No","","04/19/2024","","","","","","",""
"NVDA","NVIDIA CORP","04/19/2024","03/28/2024","0.07","$636.97","$906.80","$44.97","$64.02","-$19.05","-29.756326148079%","","-$19.05","Short Term","$64.02","No","","04/19/2024","","","","","","",""
"NVDA","NVIDIA CORP","04/19/2024","01/16/2024","99.93","$637.01","$560.65","$63,655.84","$56,025.42","$7,630.42","13.619567689095%","","$7,630.42","Short Term","$56,025.42","No","","04/19/2024","","","","","","",""
"CHWY 04/26/2024 16.00 P","PUT CHEWY INC $16 EXP 04/26/24","04/16/2024","04/16/2024","1","$0.78","$0.25","$78.34","$24.66","$53.68","68.521827929538%","","$53.68","Short Term","$24.66","No","","04/15/2024","","","","","","",""
"NVDL 05/03/2024 40.00 P","PUT GRNITSHR 1.5X LNG NVDA $40 EXP 05/03/24","04/16/2024","04/16/2024","2","$4.22","$4.24","$844.66","$847.32","-$2.66","-0.314919612625%","","-$2.66","Short Term","$847.32","No","","04/15/2024","","","","","","",""
"NVDL 04/19/2024 39.17 P","PUT GRNITSHR 1.5X LNG NVDA $39.17 EXP 04/19/24","04/12/2024","04/12/2024","3","$2.82","$1.41","$847.00","$421.98","$425.02","50.17945690673%","","$425.02","Short Term","$421.98","No","","04/11/2024","","","","","","",""
"SNOW 07/19/2024 190.00 P","PUT SNOWFLAKE INC $190 EXP 07/19/24","04/12/2024","04/12/2024","1","$9.71","$34.96","$971.33","$3,495.66","-$2,524.33","-259.88387056922%","","-$2,524.33","Short Term","$3,495.66","No","","04/11/2024","","","","","","",""
"TSLA 05/03/2024 190.00 P","PUT TESLA INC $190 EXP 05/03/24","04/12/2024","04/12/2024","1","$17.39","$21.31","$1,739.33","$2,130.66","-$391.33","-22.498893251999%","","-$391.33","Short Term","$2,130.66","No","","04/11/2024","","","","","","",""
"BABA 04/19/2024 80.00 C","CALL ALIBABA GROUP HLDG LTD $80 EXP 04/19/24","04/04/2024","04/04/2024","1","$1.56","$0.23","$156.34","$22.66","$133.68","85.505948573622%","","$133.68","Short Term","$22.66","No","","04/03/2024","","","","","","",""
"SNOW 04/12/2024 180.00 C","CALL SNOWFLAKE INC $180 EXP 04/12/24","04/04/2024","04/04/2024","1","$2.13","$0.09","$213.34","$8.66","$204.68","95.940751851505%","","$204.68","Short Term","$8.66","No","","04/03/2024","","","","","","",""
"BABA 04/12/2024 75.00 C","CALL ALIBABA GROUP HLDG LTD $75 EXP 04/12/24","04/03/2024","04/03/2024","2","$2.28","$0.72","$456.67","$143.32","$313.35","68.616287472354%","","$313.35","Short Term","$143.32","No","","04/02/2024","","","","","","",""
"CHWY 04/26/2024 18.00 C","CALL CHEWY INC $18 EXP 04/26/24","04/03/2024","04/03/2024","3","$0.66","$0.20","$199.01","$58.98","$140.03","70.363298326717%","","$140.03","Short Term","$58.98","No","","04/02/2024","","","","","","",""
"NVDL 04/19/2024 40.00 P","PUT GRNITSHR 1.5X LNG NVDA $40 EXP 04/19/24","04/03/2024","04/03/2024","1","$5.09","$3.21","$509.34","$320.66","$188.68","37.044017748459%","","$188.68","Short Term","$320.66","No","","04/02/2024","","","","","","",""
"NVDL 04/19/2024 40.00 P","PUT GRNITSHR 1.5X LNG NVDA $40 EXP 04/19/24","04/03/2024","04/03/2024","1","$4.99","$3.21","$499.34","$320.66","$178.68","35.783233868707%","","$178.68","Short Term","$320.66","No","","04/02/2024","","","","","","",""
"BABA 04/05/2024 77.00 C","CALL ALIBABA GROUP HLDG LTD $77 EXP 04/05/24","04/01/2024","04/01/2024","1","$1.41","$0.07","$141.34","$6.66","$134.68","95.287958115183%","","$134.68","Short Term","$6.66","No","","03/28/2024","","","","","","",""
"NVDL 04/19/2024 40.00 C","CALL GRNITSHR 1.5X LNG NVDA $40 EXP 04/19/24","03/28/2024","03/28/2024","1","$5.69","$4.54","$569.34","$453.66","$115.68","20.318263252187%","","$115.68","Short Term","$453.66","No","","03/27/2024","","","","","","",""
"TSLA 03/28/2024 190.00 P","PUT TESLA INC $190 EXP 03/28/24","03/28/2024","03/28/2024","1","$5.18","$9.61","$518.34","$960.66","-$442.32","-85.333950688737%","","-$442.32","Short Term","$960.66","No","","03/27/2024","","","","","","",""
"BABA 03/28/2024 76.00 C","CALL ALIBABA GROUP HLDG LTD $76 EXP 03/28/24","03/26/2024","03/26/2024","2","$1.34","$0.05","$268.67","$10.02","$258.65","96.270517735512%","","$258.65","Short Term","$10.02","No","","03/25/2024","","","","","","",""
"CHWY 03/28/2024 16.00 P","PUT CHEWY INC $16 EXP 03/28/24","03/22/2024","03/22/2024","1","$1.05","$0.30","$105.34","$29.66","$75.68","71.84355420543%","","$75.68","Short Term","$29.66","No","","03/21/2024","","","","","","",""
"CHWY 03/28/2024 18.00 C","CALL CHEWY INC $18 EXP 03/28/24","03/22/2024","03/22/2024","3","$1.41","$0.20","$424.01","$58.98","$365.03","86.08995070871%","","$365.03","Short Term","$58.98","No","","03/21/2024","","","","","","",""
"AAPL 03/22/2024 180.00 P","PUT APPLE INC $180 EXP 03/22/24","03/19/2024","03/19/2024","2","$1.88","$5.21","$376.67","$1,041.32","-$664.65","-176.454190670879%","","-$664.65","Short Term","$1,041.32","No","","03/18/2024","","","","","","",""
"NVDL 03/15/2024 35.83 C","CALL GRNITSHR 1.5X LNG NVDA $35.83 EXP 03/15/24","03/15/2024","03/15/2024","6","$3.31","$4.51","$1,984.32","$2,703.97","-$719.65","-36.266831962587%","","-$719.65","Short Term","$2,703.97","No","","03/14/2024","","","","","","",""
"NVDL 03/15/2024 40.00 C","CALL GRNITSHR 1.5X LNG NVDA $40 EXP 03/15/24","03/15/2024","03/14/2024","1","$0.99","$0.00","$99.34","$0.00","$99.34","100%","","$99.34","Short Term","$0.00","No","","03/15/2024","","","","","","",""
"TAL","TAL ED GROUP A ADR","03/15/2024","01/29/2024","16","$12.45","$10.61","$199.25","$169.76","$29.49","17.371583411876%","","$29.49","Short Term","$169.76","No","","03/15/2024","$990.93","$254.38","25.67083446863%","$167.47","50.65025405274619%","",""
"TAL","TAL ED GROUP A ADR","03/15/2024","01/22/2024","8","$12.45","$10.71","$99.63","$85.67","$13.96","16.295085794327%","","$13.96","Short Term","$85.67","No","","03/15/2024","$990.93","$254.38","25.67083446863%","$167.47","50.65025405274619%","",""
"TAL","TAL ED GROUP A ADR","03/15/2024","01/22/2024","8","$12.45","$10.74","$99.63","$85.92","$13.71","15.956703910615%","","$13.71","Short Term","$85.92","No","","03/15/2024","$990.93","$254.38","25.67083446863%","$167.47","50.65025405274619%","",""
"TAL","TAL ED GROUP A ADR","03/15/2024","01/19/2024","10","$12.45","$10.91","$124.53","$109.09","$15.44","14.153451278761%","","$15.44","Short Term","$109.09","No","","03/15/2024","$990.93","$254.38","25.67083446863%","$167.47","50.65025405274619%","",""
"TAL","TAL ED GROUP A ADR","03/15/2024","01/18/2024","10","$12.45","$11.33","$124.53","$113.30","$11.23","9.91173874669%","","$11.23","Short Term","$113.30","No","","03/15/2024","$990.93","$254.38","25.67083446863%","$167.47","50.65025405274619%","",""
"TAL","TAL ED GROUP A ADR","03/15/2024","01/12/2024","8","$12.45","$12.07","$99.63","$96.55","$3.08","3.190056965303%","","$3.08","Short Term","$96.55","No","","03/15/2024","$990.93","$254.38","25.67083446863%","$167.47","50.65025405274619%","",""
"TAL","TAL ED GROUP A ADR","03/15/2024","03/11/2023","20","$12.45","$9.09","$249.06","$181.78","$67.28","37.011772472219%","$67.28","","Long Term","$181.78","No","","03/15/2024","$990.93","$254.38","25.67083446863%","$167.47","50.65025405274619%","",""
"TAL","TAL ED GROUP A ADR","03/15/2024","03/06/2023","20","$12.45","$7.76","$249.05","$155.24","$93.81","60.429013140943%","$93.81","","Long Term","$155.24","No","","03/15/2024","$990.93","$254.38","25.67083446863%","$167.47","50.65025405274619%","",""
"TSLA 08/16/2024 190.00 C","CALL TESLA INC $190 EXP 08/16/24","03/15/2024","03/15/2024","1","$15.40","$12.18","$1,540.33","$1,217.66","$322.67","20.9481085222%","","$322.67","Short Term","$1,217.66","No","","03/14/2024","","","","","","",""
"BABA 09/20/2024 75.00 P","PUT ALIBABA GROUP HLDG LTD $75 EXP 09/20/24","03/14/2024","03/14/2024","4","$6.96","$6.38","$2,785.33","$2,550.64","$234.69","8.425931577228%","","$234.69","Short Term","$2,550.64","No","","03/13/2024","","","","","","",""
"GOOG 06/21/2024 135.00 C","CALL ALPHABET INC. $135 EXP 06/21/24","03/14/2024","03/14/2024","1","$15.31","$13.32","$1,531.33","$1,331.66","$199.67","13.038992248568%","","$199.67","Short Term","$1,331.66","No","","03/13/2024","","","","","","",""
"GOOG 06/21/2024 140.00 C","CALL ALPHABET INC. $140 EXP 06/21/24","03/14/2024","03/14/2024","1","$12.71","$10.31","$1,271.33","$1,030.66","$240.67","18.930568774433%","","$240.67","Short Term","$1,030.66","No","","03/13/2024","","","","","","",""
"TSLA 07/19/2024 190.00 C","CALL TESLA INC $190 EXP 07/19/24","03/14/2024","03/14/2024","1","$15.99","$13.22","$1,599.33","$1,321.66","$277.67","17.361645188923%","","$277.67","Short Term","$1,321.66","No","","03/13/2024","","","","","","",""
"NVDL 04/19/2024 28.33 P","PUT GRNITSHR 1.5X LNG NVDA $28.33 EXP 04/19/24","03/13/2024","03/13/2024","1","$16.70","$6.09","$1,670.33","$608.66","$1,061.67","63.560494034113%","","$1,061.67","Short Term","$608.66","No","","03/12/2024","","","","","","",""
"SNOW 03/28/2024 180.00 C","CALL SNOWFLAKE INC $180 EXP 03/28/24","03/13/2024","03/13/2024","1","$2.14","$1.05","$214.34","$104.66","$109.68","51.17103667071%","","$109.68","Short Term","$104.66","No","","03/12/2024","","","","","","",""
"COIN 09/20/2024 180.00 P","PUT COINBASE GLOBAL INC $180 EXP 09/20/24","03/12/2024","03/12/2024","1","$27.72","$22.48","$2,772.32","$2,247.66","$524.66","18.92494372944%","","$524.66","Short Term","$2,247.66","No","","03/11/2024","","","","","","",""
"GOOG 04/19/2024 140.00 C","CALL ALPHABET INC. $140 EXP 04/19/24","03/12/2024","03/12/2024","1","$2.68","$4.54","$268.34","$453.66","-$185.32","-69.061638220168%","","-$185.32","Short Term","$453.66","No","","03/11/2024","","","","","","",""
"NVDL 06/21/2024 149.53 P","PUT GRNITSHR 1.5X LNG NVDA $149.53 EXP 06/21/24","03/12/2024","03/12/2024","7","$18.14","$14.21","$12,700.25","$9,944.63","$2,755.62","21.697368162044%","","$2,755.62","Short Term","$9,944.63","No","","03/11/2024","","","","","","",""
"NVDX 03/15/2024 80.00 P","PUT TREX 2X LONG NVDA $80 EXP 03/15/24","03/12/2024","03/12/2024","1","$2.29","$2.01","$229.34","$200.66","$28.68","12.505450422953%","","$28.68","Short Term","$200.66","No","","03/11/2024","","","","","","",""
"SNOW 03/28/2024 185.00 C","CALL SNOWFLAKE INC $185 EXP 03/28/24","03/11/2024","03/11/2024","1","$2.82","$1.56","$282.34","$155.66","$126.68","44.867889778282%","","$126.68","Short Term","$155.66","No","","03/08/2024","","","","","","",""
"TSLA 06/21/2024 200.00 C","CALL TESLA INC $200 EXP 06/21/24","03/11/2024","03/11/2024","1","$15.09","$10.26","$1,509.33","$1,025.66","$483.67","32.045344623111%","","$483.67","Short Term","$1,025.66","No","","03/08/2024","","","","","","",""
"NVDL 03/15/2024 180.00 C","CALL GRNITSHR 1.5X LNG NVDA $180 EXP 03/15/24","03/06/2024","03/06/2024","1","$11.13","$48.36","$1,113.33","$4,835.66","-$3,722.33","-334.342018988081%","","-$3,722.33","Short Term","$4,835.66","No","","03/05/2024","","","","","","",""
"SNOW 03/28/2024 190.00 C","CALL SNOWFLAKE INC $190 EXP 03/28/24","03/06/2024","03/06/2024","1","$4.14","$2.10","$414.34","$209.66","$204.68","49.399044263166%","","$204.68","Short Term","$209.66","No","","03/05/2024","","","","","","",""
"BABA 03/15/2024 75.00 C","CALL ALIBABA GROUP HLDG LTD $75 EXP 03/15/24","03/05/2024","03/05/2024","2","$2.01","$0.89","$402.67","$177.32","$225.35","55.963940695855%","","$225.35","Short Term","$177.32","No","","03/04/2024","","","","","","",""
"BABA 03/15/2024 76.00 C","CALL ALIBABA GROUP HLDG LTD $76 EXP 03/15/24","03/05/2024","03/05/2024","2","$1.58","$0.67","$316.67","$133.32","$183.35","57.899390532731%","","$183.35","Short Term","$133.32","No","","03/04/2024","","","","","","",""
"BABA 03/15/2024 77.00 C","CALL ALIBABA GROUP HLDG LTD $77 EXP 03/15/24","03/05/2024","03/05/2024","1","$1.24","$0.50","$124.34","$49.66","$74.68","60.061122728004%","","$74.68","Short Term","$49.66","No","","03/04/2024","","","","","","",""
"BABA 03/15/2024 78.00 C","CALL ALIBABA GROUP HLDG LTD $78 EXP 03/15/24","03/05/2024","03/05/2024","2","$0.96","$0.37","$192.67","$73.32","$119.35","61.945295064099%","","$119.35","Short Term","$73.32","No","","03/04/2024","","","","","","",""
"BABA 04/05/2024 78.00 C","CALL ALIBABA GROUP HLDG LTD $78 EXP 04/05/24","03/05/2024","03/05/2024","1","$2.94","$1.24","$294.34","$123.66","$170.68","57.987361554665%","","$170.68","Short Term","$123.66","No","","03/04/2024","","","","","","",""
"COIN 09/20/2024 160.00 P","PUT COINBASE GLOBAL INC $160 EXP 09/20/24","03/05/2024","03/05/2024","1","$25.03","$19.74","$2,503.32","$1,973.66","$529.66","21.158301775242%","","$529.66","Short Term","$1,973.66","No","","03/04/2024","","","","","","",""
"GOOG 03/15/2024 140.00 C","CALL ALPHABET INC. $140 EXP 03/15/24","03/05/2024","03/05/2024","1","$2.03","$0.62","$203.34","$61.66","$141.68","69.676404052326%","","$141.68","Short Term","$61.66","No","","03/04/2024","","","","","","",""
"MSFT","MICROSOFT CORP","03/05/2024","12/04/2023","1","$401.55","$369.08","$401.55","$369.08","$32.47","8.797550666522%","","$32.47","Short Term","$369.08","No","","03/05/2024","","","","","","",""
"MSFT","MICROSOFT CORP","03/05/2024","12/01/2023","1","$401.97","$373.07","$401.97","$373.07","$28.90","7.746535502721%","","$28.90","Short Term","$373.07","No","","03/05/2024","","","","","","",""
"MSFT","MICROSOFT CORP","03/05/2024","11/27/2023","1","$401.96","$380.35","$401.96","$380.35","$21.61","5.681609044301%","","$21.61","Short Term","$380.35","No","","03/05/2024","","","","","","",""
"QQQ","INVSC QQQ TRUST SRS 1 ETF IV","03/05/2024","02/01/2024","1","$435.14","$418.19","$435.14","$418.19","$16.95","4.053181568187%","","$16.95","Short Term","$418.19","No","","03/05/2024","","","","","","",""
"SNOW 03/28/2024 200.00 C","CALL SNOWFLAKE INC $200 EXP 03/28/24","03/05/2024","03/05/2024","1","$4.99","$2.35","$499.34","$234.66","$264.68","53.005967877598%","","$264.68","Short Term","$234.66","No","","03/04/2024","","","","","","",""
"SPY","SPDR S&P 500 ETF","03/05/2024","02/01/2024","1","$506.99","$484.19","$506.99","$484.19","$22.80","4.708895268386%","","$22.80","Short Term","$484.19","No","","03/05/2024","","","","","","",""
"BABA 03/08/2024 75.00 C","CALL ALIBABA GROUP HLDG LTD $75 EXP 03/08/24","03/04/2024","03/04/2024","2","$1.77","$1.37","$354.67","$273.32","$81.35","22.936814503623%","","$81.35","Short Term","$273.32","No","","03/01/2024","","","","","","",""
"BABA 03/08/2024 76.00 C","CALL ALIBABA GROUP HLDG LTD $76 EXP 03/08/24","03/04/2024","03/04/2024","2","$1.50","$0.97","$300.67","$193.32","$107.35","35.703595303821%","","$107.35","Short Term","$193.32","No","","03/01/2024","","","","","","",""
"BABA 03/08/2024 77.00 C","CALL ALIBABA GROUP HLDG LTD $77 EXP 03/08/24","03/04/2024","03/04/2024","1","$1.15","$0.67","$115.34","$66.66","$48.68","42.205652852436%","","$48.68","Short Term","$66.66","No","","03/01/2024","","","","","","",""
"BABA 03/08/2024 78.00 C","CALL ALIBABA GROUP HLDG LTD $78 EXP 03/08/24","03/04/2024","03/04/2024","2","$0.94","$0.47","$188.67","$93.32","$95.35","50.537976360842%","","$95.35","Short Term","$93.32","No","","03/01/2024","","","","","","",""
"GOOG 03/08/2024 140.00 C","CALL ALPHABET INC. $140 EXP 03/08/24","03/01/2024","03/01/2024","1","$5.42","$1.32","$542.34","$131.66","$410.68","75.723715750267%","","$410.68","Short Term","$131.66","No","","02/29/2024","","","","","","",""
"BABA 03/01/2024 75.00 C","CALL ALIBABA GROUP HLDG LTD $75 EXP 03/01/24","02/29/2024","02/29/2024","2","$1.17","$0.77","$234.67","$153.32","$81.35","34.665700771296%","","$81.35","Short Term","$153.32","No","","02/28/2024","","","","","","",""
"BABA 03/01/2024 76.00 C","CALL ALIBABA GROUP HLDG LTD $76 EXP 03/01/24","02/29/2024","02/29/2024","2","$1.03","$0.54","$206.67","$107.32","$99.35","48.071805293463%","","$99.35","Short Term","$107.32","No","","02/28/2024","","","","","","",""
"BABA 03/01/2024 77.00 C","CALL ALIBABA GROUP HLDG LTD $77 EXP 03/01/24","02/29/2024","02/29/2024","1","$0.89","$0.30","$89.34","$29.66","$59.68","66.800985001119%","","$59.68","Short Term","$29.66","No","","02/28/2024","","","","","","",""
"BABA 03/01/2024 78.00 C","CALL ALIBABA GROUP HLDG LTD $78 EXP 03/01/24","02/27/2024","02/27/2024","1","$0.77","$0.58","$77.34","$57.66","$19.68","25.44608223429%","","$19.68","Short Term","$57.66","No","","02/26/2024","","","","","","",""
"CHWY 03/28/2024 18.00 C","CALL CHEWY INC $18 EXP 03/28/24","02/27/2024","02/27/2024","3","$1.43","$1.46","$430.01","$436.98","-$6.97","-1.595038674539%","","-$6.97","Short Term","$436.98","No","","02/27/2024","","","","","","",""
"TSLA 03/08/2024 190.00 P","PUT TESLA INC $190 EXP 03/08/24","02/27/2024","02/27/2024","1","$4.29","$2.14","$429.34","$213.66","$215.68","50.235244794336%","","$215.68","Short Term","$213.66","No","","02/26/2024","","","","","","",""
"CHWY 02/23/2024 19.50 C","CALL CHEWY INC $19.5 EXP 02/23/24","02/23/2024","02/08/2024","3","$0.12","$0.00","$37.01","$0.00","$37.01","100%","","$37.01","Short Term","$0.00","No","","02/23/2024","","","","","","",""
"NVDA 02/23/2024 770.00 C","CALL NVIDIA CORP $770 EXP 02/23/24","02/23/2024","02/23/2024","1","$7.65","$9.98","$765.33","$997.66","-$232.33","-30.356839533273%","","-$232.33","Short Term","$997.66","No","","02/22/2024","","","","","","",""
"NVDL 03/15/2024 104.53 P","PUT GRNITSHR 1.5X LNG NVDA $104.53 EXP 03/15/24","02/23/2024","02/23/2024","1","$3.09","$0.72","$309.34","$71.66","$237.68","76.834550979505%","","$237.68","Short Term","$71.66","No","","02/22/2024","","","","","","",""
"NVDL 03/15/2024 134.53 C","CALL GRNITSHR 1.5X LNG NVDA $134.53 EXP 03/15/24","02/23/2024","02/23/2024","1","$20.69","$58.26","$2,069.32","$5,825.66","-$3,756.34","-181.525331993118%","","-$3,756.34","Short Term","$5,825.66","No","","02/22/2024","","","","","","",""
"NVDL 03/15/2024 149.53 P","PUT GRNITSHR 1.5X LNG NVDA $149.53 EXP 03/15/24","02/23/2024","02/23/2024","5","$13.77","$4.76","$6,886.63","$2,378.31","$4,508.32","65.464820964681%","","$4,508.32","Short Term","$2,378.31","No","","02/22/2024","","","","","","",""
"NVDL 03/15/2024 149.53 P","PUT GRNITSHR 1.5X LNG NVDA $149.53 EXP 03/15/24","02/23/2024","02/23/2024","1","$10.99","$4.76","$1,099.33","$475.66","$623.67","56.7318275677%","","$623.67","Short Term","$475.66","No","","02/22/2024","","","","","","",""
"NVDL 03/15/2024 149.53 P","PUT GRNITSHR 1.5X LNG NVDA $149.53 EXP 03/15/24","02/23/2024","02/23/2024","1","$10.94","$4.76","$1,094.33","$475.66","$618.67","56.534135041532%","","$618.67","Short Term","$475.66","No","","02/22/2024","","","","","","",""
"NVDL 06/21/2024 104.53 P","PUT GRNITSHR 1.5X LNG NVDA $104.53 EXP 06/21/24","02/23/2024","02/23/2024","1","$10.39","$5.27","$1,039.33","$526.66","$512.67","49.326970259687%","","$512.67","Short Term","$526.66","No","","02/22/2024","","","","","","",""
"GOOG 03/01/2024 140.00 C","CALL ALPHABET INC. $140 EXP 03/01/24","02/22/2024","02/22/2024","1","$5.04","$4.79","$504.34","$478.66","$25.68","5.09180314867%","","$25.68","Short Term","$478.66","No","","02/21/2024","","","","","","",""
"GOOG 05/17/2024 135.00 C","CALL ALPHABET INC. $135 EXP 05/17/24","02/22/2024","02/22/2024","1","$14.69","$13.93","$1,469.33","$1,392.66","$76.67","5.218024541798%","","$76.67","Short Term","$1,392.66","No","","02/21/2024","","","","","","",""
"NVDA 03/01/2024 850.00 C","CALL NVIDIA CORP $850 EXP 03/01/24","02/22/2024","02/22/2024","1","$5.83","$4.44","$583.34","$443.66","$139.68","23.944869201495%","","$139.68","Short Term","$443.66","No","","02/21/2024","","","","","","",""
"TSLA 03/15/2024 170.00 P","PUT TESLA INC $170 EXP 03/15/24","02/22/2024","02/22/2024","1","$1.39","$1.20","$139.34","$119.66","$19.68","14.123726137505%","","$19.68","Short Term","$119.66","No","","02/21/2024","","","","","","",""
"BABA 02/23/2024 75.00 C","CALL ALIBABA GROUP HLDG LTD $75 EXP 02/23/24","02/21/2024","02/21/2024","1","$1.02","$0.48","$102.34","$47.66","$54.68","53.42974399062%","","$54.68","Short Term","$47.66","No","","02/20/2024","","","","","","",""
"BABA 02/23/2024 75.00 C","CALL ALIBABA GROUP HLDG LTD $75 EXP 02/23/24","02/21/2024","02/21/2024","1","$0.93","$0.48","$93.34","$47.66","$45.68","48.93936147418%","","$45.68","Short Term","$47.66","No","","02/20/2024","","","","","","",""
"BABA 03/01/2024 76.00 C","CALL ALIBABA GROUP HLDG LTD $76 EXP 03/01/24","02/21/2024","02/21/2024","2","$1.03","$0.91","$206.68","$181.32","$25.36","12.27017611767%","","$25.36","Short Term","$181.32","No","","02/20/2024","","","","","","",""
"BABA 03/01/2024 78.00 C","CALL ALIBABA GROUP HLDG LTD $78 EXP 03/01/24","02/21/2024","02/21/2024","2","$0.77","$0.53","$154.67","$105.32","$49.35","31.906639943105%","","$49.35","Short Term","$105.32","No","","02/20/2024","","","","","","",""
"NVDA 02/23/2024 900.00 C","CALL NVIDIA CORP $900 EXP 02/23/24","02/21/2024","02/21/2024","1","$6.19","$2.21","$619.34","$220.66","$398.68","64.371750573191%","","$398.68","Short Term","$220.66","No","","02/20/2024","","","","","","",""
"NVDA 07/19/2024 260.00 C","CALL NVIDIA CORP $260 EXP 07/19/24","02/21/2024","02/21/2024","6","$236.65","$439.11","$141,990.89","$263,463.97","-$121,473.08","-85.549910983726%","","-$121,473.08","Short Term","$263,463.97","No","","02/20/2024","","","","","","",""
"TAL 05/17/2024 9.00 P","PUT TAL ED GROUP $9 EXP 05/17/24","02/21/2024","02/21/2024","10","$0.69","$0.21","$693.37","$211.61","$481.76","69.480940911779%","","$481.76","Short Term","$211.61","No","","02/20/2024","","","","","","",""
"COIN 04/19/2024 160.00 P","PUT COINBASE GLOBAL INC $160 EXP 04/19/24","02/20/2024","02/20/2024","1","$26.33","$10.33","$2,633.32","$1,032.66","$1,600.66","60.784864733492%","","$1,600.66","Short Term","$1,032.66","No","","02/16/2024","","","","","","",""
"NVDA 02/16/2024 750.00 C","CALL NVIDIA CORP $750 EXP 02/16/24","02/20/2024","02/20/2024","1","$4.89","$0.76","$489.34","$75.66","$413.68","84.538357788041%","","$413.68","Short Term","$75.66","No","","02/16/2024","","","","","","",""
"NVDL 02/16/2024 150.00 P","PUT GRNITSHR 1.5X LNG NVDA $150 EXP 02/16/24","02/20/2024","02/20/2024","1","$4.17","$0.21","$417.34","$20.66","$396.68","95.049599846648%","","$396.68","Short Term","$20.66","No","","02/16/2024","","","","","","",""
"SNOW 03/01/2024 185.00 P","PUT SNOWFLAKE INC $185 EXP 03/01/24","02/20/2024","02/20/2024","2","$2.79","$0.96","$558.67","$191.32","$367.35","65.754380940448%","","$367.35","Short Term","$191.32","No","","02/16/2024","","","","","","",""
"SNOW 06/21/2024 190.00 P","PUT SNOWFLAKE INC $190 EXP 06/21/24","02/20/2024","02/20/2024","1","$18.53","$8.41","$1,853.33","$840.66","$1,012.67","54.640565900298%","","$1,012.67","Short Term","$840.66","No","","02/16/2024","","","","","","",""
"TSLA 03/01/2024 190.00 P","PUT TESLA INC $190 EXP 03/01/24","02/20/2024","02/20/2024","1","$3.94","$2.94","$394.34","$293.66","$100.68","25.531267434194%","","$100.68","Short Term","$293.66","No","","02/16/2024","","","","","","",""
"COIN 04/19/2024 100.00 P","PUT COINBASE GLOBAL INC $100 EXP 04/19/24","02/16/2024","02/16/2024","1","$6.93","$1.84","$693.33","$183.66","$509.67","73.510449569469%","","$509.67","Short Term","$183.66","No","","02/15/2024","","","","","","",""
